,marketing_score,competition_index,customer_satisfaction,purchasing_power_index,weather_condition,tech_event,5g_phase,store_traffic,public_transport,city,jPhone_Pro_revenue,Kaggle_Pixel_5_revenue,Planet_SX_revenue
2019-02-18,107.39,53.49,85.07,123.68,Moderate,None,Pre-5G,1.1,Poor,Paris,166683.25,87477.4,32176.48
2019-02-19,107.52,52.5,85.08,123.73,Bad,None,Pre-5G,0.02,Hub,Paris,155082.75,75465.02,35993.0
2019-02-20,107.64,51.51,85.08,123.79,Good,None,Pre-5G,0.13,Good,Paris,198499.0,86346.12,58514.45
2019-02-21,107.77,50.5,85.08,123.85,Moderate,None,Pre-5G,0.95,Good,Paris,168457.13,93567.1,55094.22
2019-02-22,,49.5,85.08,123.9,Good,,Pre-5G,-0.07,Limited,Paris,200540.9,100055.04,50701.48
2019-02-23,108.02,48.49,85.08,123.95,Good,None,Pre-5G,0.48,Hub,Paris,227679.33,98833.66,53713.0
2019-02-24,108.14,47.5,85.09,124.01,Moderate,None,Pre-5G,0.39,Poor,Paris,214243.13,116906.88,56866.71
2019-02-25,108.25,46.51,85.09,124.06,Good,Tech Show,Pre-5G,1.16,Hub,Paris,195060.63,100705.26,62163.25
2019-02-26,108.37,45.55,85.09,124.11,Bad,None,Pre-5G,0.34,Hub,Paris,161413.37,85909.95,49124.0
2019-02-27,108.48,44.6,85.09,124.16,Bad,None,Pre-5G,0.78,Poor,Paris,179285.38,98915.57,53417.23
2019-02-28,108.59,43.68,85.1,124.2,Bad,None,Pre-5G,0.38,Limited,Paris,174044.59,87478.49,54625.22
2019-03-01,108.7,42.79,85.1,124.25,Moderate,None,Pre-5G,0.69,Limited,Paris,150684.51,98303.54,56903.06
2019-03-02,108.81,41.94,85.1,124.29,Moderate,None,Pre-5G,0.14,Poor,Paris,216797.93,115031.19,61521.84
2019-03-03,108.91,41.13,85.1,124.34,Moderate,None,Pre-5G,0.26,Limited,Paris,258441.73,,64317.85
2019-03-04,109.01,40.36,85.1,124.38,Bad,None,Pre-5G,-0.08,Poor,Paris,160954.2,84393.11,45675.01
2019-03-05,109.11,39.63,85.11,124.42,Moderate,None,Pre-5G,1.07,Hub,Paris,161549.29,88563.96,43163.73
2019-03-06,109.2,38.96,85.11,124.46,Moderate,None,Pre-5G,0.1,Good,Paris,194978.62,85121.71,57875.42
2019-03-07,109.3,38.34,85.11,124.5,Moderate,None,Pre-5G,-0.38,Limited,Paris,194550.61,116354.77,60869.76
2019-03-08,109.39,37.78,85.11,124.54,Moderate,None,Pre-5G,1.23,Good,Paris,219161.6,84148.28,49821.32
2019-03-09,109.48,37.27,85.12,124.57,Bad,None,Pre-5G,0.82,Hub,Paris,183067.68,90955.08,64669.71
2019-03-10,109.56,36.83,85.12,124.6,Moderate,None,Pre-5G,0.26,Good,Paris,232302.74,115008.41,
2019-03-11,109.64,36.46,85.12,124.64,Bad,None,Pre-5G,0.14,Hub,Paris,181654.13,,49563.39
2019-03-12,109.72,36.15,85.12,124.67,Good,None,Pre-5G,1.04,Poor,Paris,184922.82,,49491.19
2019-03-13,109.8,35.9,85.12,124.7,Moderate,None,Pre-5G,0.7,Limited,Paris,,,55744.88
2019-03-14,109.87,35.73,85.13,124.73,Moderate,None,Pre-5G,0.8,Poor,Paris,212087.44,,52135.49
2019-03-15,109.95,35.62,85.13,124.76,Bad,None,Pre-5G,0.67,Limited,Paris,206599.58,,51200.87
2019-03-16,110.02,35.59,85.13,124.78,Good,None,Pre-5G,-0.05,Good,Paris,204218.13,,68315.82
2019-03-17,110.08,35.62,85.13,124.81,Good,None,Pre-5G,-0.67,Good,Paris,246922.78,94061.69,54446.14
2019-03-18,110.14,35.73,85.13,124.83,Good,None,Pre-5G,0.41,Limited,Paris,190774.0,102796.63,47153.72
2019-03-19,110.21,35.9,85.14,124.85,Moderate,None,Pre-5G,1.63,Limited,Paris,181772.93,101090.7,52104.61
2019-03-20,110.26,36.15,85.14,124.87,Moderate,None,Pre-5G,-0.02,Limited,Paris,194948.45,105500.11,55400.49
2019-03-21,110.32,36.46,85.14,124.89,Moderate,None,Pre-5G,0.49,,Paris,190659.46,94905.49,57444.22
2019-03-22,110.37,36.83,85.14,124.91,Bad,None,Pre-5G,0.12,Hub,Paris,213714.66,92845.73,65119.2
2019-03-23,110.42,37.27,85.15,124.92,Good,None,Pre-5G,0.19,Hub,Paris,229233.58,120217.14,66343.09
2019-03-24,110.47,37.78,85.15,124.94,Moderate,None,Pre-5G,0.26,Limited,Paris,,118316.13,66222.84
2019-03-25,110.51,38.34,85.15,124.95,Moderate,None,Pre-5G,0.89,Hub,Paris,175658.52,97226.44,47523.57
2019-03-26,110.55,38.96,85.15,124.96,Moderate,None,Pre-5G,-0.38,Poor,Paris,183283.36,99748.9,55898.24
2019-03-27,110.59,39.63,85.15,124.97,Moderate,None,Pre-5G,0.4,Good,Paris,216525.84,86697.83,52432.02
2019-03-28,110.62,40.36,85.16,124.98,Good,None,Pre-5G,0.88,Limited,Paris,213806.13,98511.47,58131.83
2019-03-29,110.65,41.13,85.16,124.99,Good,None,Pre-5G,0.85,Limited,Paris,190153.84,94046.9,58738.06
2019-03-30,110.68,41.94,85.16,124.99,Bad,None,Pre-5G,1.93,Poor,Paris,263914.69,101451.19,66573.46
2019-03-31,110.71,42.79,85.16,125.0,Moderate,None,Pre-5G,1.35,Poor,Paris,223256.8,119502.65,53866.09
2019-04-01,110.73,43.68,85.17,125.0,Moderate,None,Pre-5G,1.45,Limited,Paris,203763.32,91648.28,40196.28
2019-04-02,110.75,44.6,85.17,125.0,Good,None,Pre-5G,0.87,Poor,Paris,,118002.94,52571.86
2019-04-03,110.77,45.55,85.17,125.0,Good,None,Pre-5G,1.18,Limited,Paris,209921.64,101595.97,59761.9
2019-04-04,110.78,46.51,85.17,125.0,Moderate,None,Pre-5G,0.89,Hub,Paris,205632.26,95591.41,55337.61
2019-04-05,110.79,47.5,85.17,124.99,Good,None,Pre-5G,0.11,Good,Paris,229726.66,103412.3,65778.44
2019-04-06,110.8,48.49,85.18,124.99,Moderate,None,Pre-5G,1.23,Poor,Paris,240205.94,101447.76,64620.45
2019-04-07,110.8,49.5,85.18,124.98,Moderate,None,Pre-5G,0.57,Limited,Paris,232759.04,106214.17,57620.84
2019-04-08,110.81,50.5,85.18,124.98,Moderate,None,Pre-5G,0.37,Poor,Paris,171566.48,98966.1,39235.6
2019-04-09,110.81,51.51,85.18,124.97,Moderate,None,Pre-5G,1.26,Limited,Paris,164024.99,88391.75,49074.91
2019-04-10,110.8,52.5,85.19,124.96,Moderate,None,Pre-5G,-0.58,Good,Paris,192572.67,85991.08,59112.91
2019-04-11,110.8,53.49,85.19,124.94,Moderate,None,Pre-5G,1.1,Poor,Paris,203114.25,84498.39,51345.48
2019-04-12,110.79,54.45,85.19,124.93,Good,None,Pre-5G,-0.27,Good,Paris,196295.68,95852.43,57633.79
2019-04-13,110.77,55.4,85.19,124.91,Moderate,None,Pre-5G,0.46,Poor,Paris,235860.38,107156.2,63363.65
2019-04-14,110.76,56.32,85.19,124.9,Moderate,None,Pre-5G,-0.43,Hub,Paris,240455.14,117329.26,53852.81
2019-04-15,110.74,57.21,85.2,124.88,Bad,None,Pre-5G,1.79,Hub,Paris,148875.29,71441.25,50504.92
2019-04-16,110.72,58.06,85.2,124.86,Moderate,None,Pre-5G,0.16,Hub,Paris,155584.42,82626.72,57169.38
2019-04-17,110.69,58.87,85.2,124.84,Moderate,None,Pre-5G,0.77,Limited,Paris,179641.32,92681.28,51554.2
2019-04-18,,59.64,85.2,124.82,Good,None,Pre-5G,0.61,Limited,Paris,196582.03,77976.25,48567.21
2019-04-19,110.64,60.37,85.2,124.79,Moderate,None,Pre-5G,-0.07,Good,Paris,177713.88,86118.14,53535.01
2019-04-20,110.6,61.04,85.21,124.77,Moderate,None,Pre-5G,0.71,Good,Paris,237355.74,97280.58,46407.29
2019-04-21,110.57,61.66,85.21,124.74,Moderate,None,Pre-5G,0.3,Hub,Paris,214682.29,94667.83,60817.8
2019-04-22,110.53,62.22,85.21,124.71,Moderate,None,Pre-5G,0.43,Poor,Paris,169723.56,86609.24,51117.29
2019-04-23,110.49,62.73,85.21,124.68,Bad,None,Pre-5G,-0.25,Poor,Paris,134339.65,77798.27,53264.78
2019-04-24,110.44,63.17,85.22,124.65,Bad,None,Pre-5G,-0.34,Good,Paris,147085.48,80396.21,48030.83
2019-04-25,110.4,63.54,85.22,124.62,Good,None,Pre-5G,0.73,Hub,Paris,192353.81,97715.49,55940.44
2019-04-26,110.35,63.85,,124.59,Bad,None,Pre-5G,-0.05,Hub,Paris,137652.51,102956.76,46128.74
2019-04-27,110.29,64.1,85.22,124.55,Bad,None,Pre-5G,0.3,Good,Paris,216543.31,114431.84,54293.59
2019-04-28,110.24,64.27,85.22,124.52,Moderate,None,Pre-5G,-0.04,Hub,Paris,199526.81,48898.33,49100.08
2019-04-29,110.18,64.38,,124.48,Bad,None,Pre-5G,-0.04,Hub,Paris,207782.15,49988.59,44710.69
2019-04-30,110.12,64.41,85.23,124.44,Moderate,None,Pre-5G,-0.08,Hub,Paris,200678.36,48166.16,45805.19
2019-05-01,110.05,64.38,85.23,124.4,Bad,None,Pre-5G,0.65,Limited,Paris,163601.01,50848.54,49646.17
2019-05-02,109.99,64.27,85.23,124.36,Bad,None,Pre-5G,0.21,Poor,Paris,164559.42,80278.78,45117.4
2019-05-03,109.92,64.1,85.24,124.32,Moderate,None,Pre-5G,0.62,Hub,Paris,199728.32,92093.25,52667.84
2019-05-04,109.85,63.85,85.24,124.27,Moderate,None,Pre-5G,0.87,Good,Paris,238135.29,103133.27,56163.82
2019-05-05,109.77,63.54,85.24,124.23,Moderate,None,Pre-5G,0.89,Poor,Paris,167788.71,94419.37,55434.07
2019-05-06,109.7,63.17,85.24,124.18,Moderate,None,Pre-5G,-0.09,Limited,Paris,134771.94,75102.7,47869.24
2019-05-07,109.62,62.73,85.24,124.13,Bad,None,Pre-5G,1.03,Hub,Paris,142744.75,73297.21,44466.25
2019-05-08,109.53,62.22,85.25,124.08,Bad,None,Pre-5G,0.57,Good,Paris,174662.28,84893.47,51365.17
2019-05-09,109.45,61.66,85.25,124.03,Moderate,None,Pre-5G,0.01,Poor,Paris,182644.56,92509.76,49528.96
2019-05-10,109.36,61.04,85.25,123.98,Moderate,None,Pre-5G,0.64,Hub,Paris,199670.03,98074.38,50027.62
2019-05-11,109.27,60.37,85.25,123.93,Moderate,None,Pre-5G,-0.07,Good,Paris,178078.02,96013.09,56703.5
2019-05-12,109.18,59.64,85.26,123.87,Moderate,None,Pre-5G,0.04,Poor,Paris,153423.06,102526.6,52942.48
2019-05-13,109.09,58.87,85.26,123.82,Moderate,None,Pre-5G,0.5,Poor,Paris,177229.09,89929.45,45504.67
2019-05-14,108.99,58.06,85.26,123.76,Moderate,None,Pre-5G,1.31,Poor,Paris,147267.27,90148.94,55920.79
2019-05-15,108.89,57.21,85.26,123.71,Bad,None,Pre-5G,0.69,Limited,Paris,131225.2,82108.0,43170.63
2019-05-16,108.79,56.32,85.26,123.65,Moderate,None,Pre-5G,-0.56,Good,Paris,175978.2,85049.28,48541.57
2019-05-17,108.69,55.4,85.27,123.59,Moderate,None,Pre-5G,0.55,Good,Paris,194191.32,91813.67,49660.17
2019-05-18,108.58,54.45,85.27,123.53,Good,None,Pre-5G,-0.21,Hub,Paris,208487.81,,58548.63
2019-05-19,108.47,53.49,85.27,123.47,Moderate,None,Pre-5G,0.46,Hub,Paris,190215.41,97558.55,54985.99
2019-05-20,108.36,52.5,85.27,123.4,Bad,None,Pre-5G,-0.35,Poor,Paris,151394.24,83201.58,45865.67
2019-05-21,108.25,51.51,85.28,123.34,Bad,None,Pre-5G,1.34,Poor,Paris,,81040.91,36394.22
2019-05-22,108.14,50.5,85.28,123.28,Moderate,None,Pre-5G,0.42,Limited,Paris,149901.47,84476.36,54991.37
2019-05-23,108.02,49.5,85.28,123.21,Moderate,None,Pre-5G,0.04,Hub,Paris,160831.37,88681.17,52951.99
2019-05-24,107.9,48.49,85.28,,Moderate,None,Pre-5G,-0.13,Limited,Paris,189013.13,82488.02,45120.36
2019-05-25,107.78,47.5,85.28,123.08,Moderate,None,Pre-5G,1.13,Limited,Paris,208149.16,107631.64,44404.27
2019-05-26,107.66,46.51,85.29,123.01,Moderate,None,Pre-5G,0.19,Poor,Paris,202324.21,98476.92,51165.16
2019-05-27,107.54,45.55,85.29,122.94,Good,None,Pre-5G,-0.09,Good,Paris,154523.44,83603.54,48131.97
2019-05-28,107.41,44.6,85.29,122.87,Moderate,None,Pre-5G,0.25,Poor,Paris,156888.8,77342.34,58046.77
2019-05-29,107.28,43.68,85.29,122.8,Moderate,None,Pre-5G,-0.37,Hub,Paris,135053.11,85916.35,52281.54
2019-05-30,107.15,42.79,85.29,122.73,Moderate,None,Pre-5G,-0.18,Good,Paris,175550.4,82502.39,40579.31
2019-05-31,107.02,41.94,85.3,122.65,Bad,None,Pre-5G,1.18,Hub,Paris,193928.66,90605.11,45408.37
2019-06-01,106.89,41.13,85.3,122.58,Good,None,Pre-5G,0.34,Poor,Paris,178816.33,100276.26,59220.26
2019-06-02,106.76,40.36,85.3,122.51,Good,None,Pre-5G,1.0,Hub,Paris,194765.82,119424.67,60251.31
2019-06-03,106.62,39.63,85.3,122.43,Good,None,Pre-5G,0.83,Hub,Paris,175839.44,97740.25,42461.08
2019-06-04,106.48,38.96,85.31,122.36,Moderate,None,Pre-5G,0.15,Hub,Paris,178058.06,72343.68,45032.15
2019-06-05,106.34,38.34,85.31,122.28,Good,None,Pre-5G,1.0,Poor,Paris,171903.79,90572.1,47790.84
2019-06-06,106.2,37.78,85.31,122.2,Good,None,Pre-5G,0.6,Poor,Paris,167156.46,83910.41,45701.55
2019-06-07,106.06,37.27,85.31,122.13,Good,None,Pre-5G,0.04,Hub,Paris,149108.59,,54371.05
2019-06-08,105.92,36.83,85.31,122.05,Good,None,Pre-5G,2.31,Poor,Paris,209434.72,62404.5,63353.17
2019-06-09,105.77,36.46,85.32,121.97,Good,None,Pre-5G,0.32,Good,Paris,,49656.81,62833.35
2019-06-10,105.62,36.15,85.32,121.89,Good,None,Pre-5G,-0.14,Hub,Paris,171929.08,86767.76,50775.28
2019-06-11,105.48,35.9,,121.81,Good,None,Pre-5G,,Hub,Paris,163749.82,86652.76,44806.61
2019-06-12,105.33,35.73,85.32,121.73,Good,None,Pre-5G,0.96,Hub,Paris,182173.52,79362.66,54075.64
2019-06-13,105.18,35.62,85.33,121.65,Good,None,Pre-5G,0.8,Hub,Paris,175636.91,80345.31,51834.8
2019-06-14,105.03,35.59,85.33,121.57,Good,None,Pre-5G,0.06,Good,Paris,166862.18,79722.46,52522.98
2019-06-15,,35.62,85.33,121.48,Moderate,None,Pre-5G,0.34,Hub,Paris,209841.8,88023.46,51741.94
2019-06-16,104.72,35.73,85.33,121.4,Good,None,Pre-5G,1.46,Limited,Paris,204101.87,71026.7,53824.86
2019-06-17,104.57,35.9,85.33,121.32,Good,None,Pre-5G,0.13,Hub,Paris,162690.57,85738.45,46965.23
2019-06-18,104.41,36.15,85.34,121.24,Good,None,Pre-5G,0.59,Hub,Paris,,95981.66,56823.83
2019-06-19,104.26,36.46,85.34,121.15,Good,None,Pre-5G,0.61,Hub,Paris,193336.32,86736.19,50394.09
2019-06-20,104.1,36.83,85.34,121.07,Good,None,Pre-5G,0.63,Good,Paris,181413.58,72969.56,45683.04
2019-06-21,103.94,37.27,85.34,120.98,Good,None,Pre-5G,0.84,Poor,Paris,165919.85,82038.95,45958.22
2019-06-22,103.78,37.78,85.35,120.9,Good,None,Pre-5G,0.72,Poor,Paris,216414.94,,53046.28
2019-06-23,103.62,38.34,85.35,120.81,Good,None,Pre-5G,1.07,Poor,Paris,183464.51,,66730.42
2019-06-24,103.46,38.96,85.35,120.73,Good,None,Pre-5G,0.62,Hub,Paris,143458.16,84656.5,42927.52
2019-06-25,103.3,39.63,85.35,120.64,Good,None,Pre-5G,1.8,Good,Paris,140387.42,82318.33,47668.75
2019-06-26,103.14,40.36,85.35,120.56,Good,None,Pre-5G,0.29,Poor,Paris,134782.27,72422.17,45121.72
2019-06-27,,41.13,85.36,120.47,Good,None,Pre-5G,0.65,Hub,Paris,170304.89,87208.69,47777.3
2019-06-28,102.82,41.94,85.36,120.39,Moderate,None,Pre-5G,-0.2,Hub,Paris,129769.88,91606.07,
2019-06-29,102.66,42.79,85.36,120.3,Good,None,Pre-5G,-0.19,Poor,Paris,165637.87,111863.62,50520.92
2019-06-30,102.5,43.68,85.36,120.22,Good,None,Pre-5G,0.29,Good,Paris,146615.88,118517.48,49177.28
2019-07-01,102.33,44.6,85.36,120.13,Good,None,Pre-5G,0.09,Poor,Paris,147138.87,67670.63,49766.92
2019-07-02,102.17,45.55,85.37,120.04,Moderate,None,Pre-5G,-0.07,Good,Paris,132778.24,86915.25,42852.25
2019-07-03,102.01,46.51,85.37,119.96,Moderate,None,Pre-5G,0.9,Limited,Paris,141097.15,70530.12,45292.74
2019-07-04,,47.5,85.37,119.87,Good,None,Pre-5G,0.43,Hub,Paris,137061.58,72037.03,47340.91
2019-07-05,101.68,48.49,85.37,119.78,Good,None,Pre-5G,0.67,Poor,Paris,139092.85,81342.29,47169.81
2019-07-06,101.52,49.5,85.38,119.7,Moderate,None,Pre-5G,0.21,Hub,Paris,176432.92,79208.19,57751.87
2019-07-07,101.36,50.5,85.38,119.61,Good,None,Pre-5G,,Hub,Paris,163616.47,89738.12,49482.38
2019-07-08,101.19,51.51,85.38,119.53,Good,None,Pre-5G,0.95,Hub,Paris,139096.63,58780.68,41192.2
2019-07-09,101.03,52.5,85.38,119.44,Good,None,Pre-5G,-0.48,Poor,Paris,118758.97,63946.67,32239.31
2019-07-10,100.87,53.49,85.38,119.36,Good,None,Pre-5G,0.86,Good,Paris,143911.6,79966.53,37318.55
2019-07-11,100.7,54.45,85.39,119.27,Moderate,None,Pre-5G,0.27,Limited,Paris,147327.28,65137.65,33171.96
2019-07-12,100.54,55.4,85.39,119.19,Moderate,None,Pre-5G,0.87,Poor,Paris,142840.46,68683.47,43880.77
2019-07-13,100.38,56.32,85.39,119.1,Good,None,Pre-5G,0.28,Good,Paris,157448.18,85795.37,34846.76
2019-07-14,100.22,57.21,85.39,119.02,Good,None,Pre-5G,1.1,Limited,Paris,163865.86,89062.96,43743.31
2019-07-15,100.06,58.06,85.4,118.93,Good,None,Pre-5G,0.14,Hub,Paris,118617.0,51074.41,
2019-07-16,,58.87,85.4,118.85,Good,None,Pre-5G,0.52,Hub,Paris,117219.23,62507.39,31249.67
2019-07-17,99.74,59.64,85.4,118.76,Moderate,None,Pre-5G,1.65,Hub,Paris,115352.53,58455.23,32937.52
2019-07-18,99.58,60.37,85.4,118.68,Moderate,None,Pre-5G,0.49,Poor,Paris,115545.94,60189.7,38882.7
2019-07-19,99.42,61.04,85.4,118.6,Good,None,Pre-5G,1.09,Poor,Paris,134124.44,98067.66,39372.78
2019-07-20,99.26,61.66,85.41,,Good,None,Pre-5G,0.24,Poor,Paris,136658.73,89771.28,39734.15
2019-07-21,99.1,62.22,85.41,118.43,Good,None,Pre-5G,0.84,Hub,Paris,132497.08,66242.07,
2019-07-22,98.94,62.73,85.41,118.35,Good,None,Pre-5G,,Hub,Paris,94288.59,44590.95,32014.3
2019-07-23,98.79,63.17,85.41,118.27,Moderate,None,Pre-5G,1.06,Hub,Paris,80827.45,46172.36,28483.03
2019-07-24,98.63,63.54,85.42,118.19,Good,None,Pre-5G,-0.43,Poor,Paris,102561.42,66623.34,29817.58
2019-07-25,98.48,63.85,85.42,118.11,Good,None,Pre-5G,-0.14,Hub,Paris,117125.24,57368.11,30166.87
2019-07-26,,64.1,85.42,118.03,Good,None,Pre-5G,0.11,Poor,Paris,109593.24,52396.1,31955.1
2019-07-27,,64.27,85.42,117.95,Good,None,Pre-5G,-0.19,Hub,Paris,,67089.53,40569.99
2019-07-28,98.02,,85.42,117.87,Good,None,Pre-5G,0.58,Hub,Paris,137544.66,58384.66,39614.12
2019-07-29,97.87,64.41,85.43,117.8,Good,None,Pre-5G,1.15,Poor,Paris,79825.45,44663.87,33661.75
2019-07-30,97.72,64.38,85.43,117.72,Good,None,Pre-5G,0.78,Poor,Paris,101790.87,28225.08,29192.87
2019-07-31,97.58,64.27,85.43,117.64,Good,None,Pre-5G,-0.14,Hub,Paris,116013.41,26798.87,22802.41
2019-08-01,97.43,64.1,85.43,117.57,Good,None,Pre-5G,0.96,Good,Paris,95599.49,59531.55,31757.42
2019-08-02,97.28,63.85,85.44,117.49,Good,None,Pre-5G,0.13,Hub,Paris,116215.16,55767.96,27685.91
2019-08-03,97.14,63.54,85.44,117.42,Good,None,Pre-5G,0.13,Limited,Paris,121191.56,66906.36,34351.63
2019-08-04,97.0,63.17,85.44,117.35,Good,None,Pre-5G,0.5,Good,Paris,130184.39,62778.26,34032.14
2019-08-05,96.86,62.73,85.44,117.27,Good,None,Pre-5G,-0.71,Limited,Paris,79998.83,50065.81,25192.03
2019-08-06,96.72,62.22,85.44,117.2,Good,None,Pre-5G,1.08,Hub,Paris,72263.83,48261.5,22444.16
2019-08-07,96.58,61.66,,117.13,Good,None,Pre-5G,0.54,Hub,Paris,96324.84,52307.89,29865.27
2019-08-08,96.44,61.04,85.45,117.06,Moderate,None,Pre-5G,-0.22,Hub,Paris,89110.07,48377.32,22836.2
2019-08-09,96.31,60.37,85.45,116.99,Good,None,Pre-5G,-0.36,Hub,Paris,100841.04,51824.55,31646.48
2019-08-10,96.18,59.64,85.45,116.92,Good,None,Pre-5G,0.13,Limited,Paris,111384.97,66701.09,44401.68
